category,ordinal,month,year,rateaccount,property,sgid,type,streetnumber,streetname,suburb,account,install,device,uomdesc,uom,readings,afterrandvalue,randvalue,
LPU-Demand  | LV,114,June,2019,206382963,ERF 218 of CRAIGHALL,T0IQ0063000000002180000000,Non Residential,368,JAN SMUTS AVENUE,CRAIGHALL,220000479,3002676355,63020709,KVA,1,137,25764,0
LPU-Demand  | LV,115,June,2019,206382963,ERF 218 of CRAIGHALL,T0IQ0063000000002180000000,Non Residential,368,JAN SMUTS AVENUE,CRAIGHALL,220000479,3002676355,63020709,KWH,2,64722,42490,0
LPU-Demand  | LV,116,June,2019,554016728,ERF 7 of CRAIGHALL PARK,T0IQ0064000000000070000000,Non Residential,3,LANCASTER AVENUE,CRAIGHALL PARK,220000535,3002667901,98453345,KVA,1,88,16588,0
LPU-Demand  | LV,117,June,2019,554016728,ERF 7 of CRAIGHALL PARK,T0IQ0064000000000070000000,Non Residential,3,LANCASTER AVENUE,CRAIGHALL PARK,220000535,3002667901,98453345,KWH,2,67328,44201,0
LPU-Demand  | LV,118,June,2019,554016728,ERF 7 of CRAIGHALL PARK,T0IQ0064000000000070000000,Non Residential,3,LANCASTER AVENUE,CRAIGHALL PARK,220000535,3002667901,98453345,KRH,3,1618,318,0
LPU-Demand  | LV,119,June,2019,403054369,Portion 328 of ERF 711 of CRAIGHALL PARK,T0IQ0064000000007110032800,Non Residential,74,HILLCREST AVENUE,BLAIRGOWRIE,220000609,3003564984,63034676,KVA,1,70,13104,0
LPU-Demand  | LV,120,June,2019,403054369,Portion 328 of ERF 711 of CRAIGHALL PARK,T0IQ0064000000007110032800,Non Residential,74,HILLCREST AVENUE,BLAIRGOWRIE,220000609,3003564984,63034676,KWH,2,31753,20956,0
LPU-Demand  | LV,121,June,2019,403054369,Portion 328 of ERF 711 of CRAIGHALL PARK,T0IQ0064000000007110032800,Non Residential,74,HILLCREST AVENUE,BLAIRGOWRIE,220000609,3003564984,63034676,KRH,3,6474,1271,0
LPU-Demand  | LV,122,June,2019,207569442,ERF 218 of CRAIGHALL PARK,T0IQ0064000000002180000000,Non Residential,30,ROXBURGHE AVENUE,CRAIGHALL PARK,220000623,3002667945,98369612,KVA,1,72,13613,0
LPU-Demand  | LV,123,June,2019,207569442,ERF 218 of CRAIGHALL PARK,T0IQ0064000000002180000000,Non Residential,30,ROXBURGHE AVENUE,CRAIGHALL PARK,220000623,3002667945,98369612,KWH,2,52676,34582,0
LPU-Demand  | LV,124,June,2019,207569442,ERF 218 of CRAIGHALL PARK,T0IQ0064000000002180000000,Non Residential,30,ROXBURGHE AVENUE,CRAIGHALL PARK,220000623,3002667945,98369612,KRH,3,4530,889,0
